Serial Number,Tweets,Subjectivity,Polarity,Analysis
76,Gps looking forward to getting date they will receive CovidVaccine supply to start protecting our over 70’s. Over… ,0.0,0.0,Neutral
77,CovidVaccine  free for people that qualify in the community and meet the requirements thanks  for… ,0.5,0.30000000000000004,Positive
78,"Johnson&amp; Johnson Seeks Emergency Authorisation Of Single Dose CovidVaccine
",0.21428571428571427,-0.07142857142857142,Negative
79, I think you you are wrong ScottyFromMarketing official photographer is first in line for Pfizer… ,0.6166666666666667,-0.125,Negative
80,The COVIDVaccine details are sent to the registered mobile number before vaccination. For reporting Adverse Event… ,0.0,0.0,Neutral
81,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
82,Pfizer Inc has withdrawn an application for emergency-use authorization of its Covid-19 vaccine in India that it ha… ,0.0,0.0,Neutral
83,Now here's a graph to make you smile on a Friday morning - the UK is now just a few days away from having vaccinate… ,0.1,0.04999999999999999,Positive
84,"Thanks _arschin for letting me weigh in alongside my favorite immunologist on the Covid-19 strains.

covid19… ",0.6,0.35,Positive
85,"Done with Vaccination

CovidVaccine 
CovishieldVaccine ",0.0,0.0,Neutral
86,"Uk 🇬🇧 gov talking about vaccine passports just weeks after Gove said there were NO PLANS to issue them.
What’s next… ",0.0,0.0,Neutral
87, CovidVaccine what exactly do you mean by “Results showed the jab offers 76 per cent protection up to… ,0.3125,0.012500000000000002,Positive
88,"I don’t care who gets mad about this, I will NOT be taking the covid vaccine. I absolutely refuse, you all have no… ",0.95,-0.2125,Negative
89,"CovidVaccine Covid19UK vaccine Since the start of the trials, all trials, there has not been a single death or h… ",0.21428571428571427,-0.07142857142857142,Negative
90,Do your own CovidVaccine  investigation instead of following everyone’s news cycle! Where is the peer review to ba… ,0.55,0.3,Positive
91,"This is so important. As 
 + @_HassanF have also ointed out: Moderna received US government funding… ",1.0,0.4,Positive
92,Johnson &amp; Johnson seeks emergency use approval for its single-dose Covidvaccine. johnsonandjohnson  Avaaz24 ,0.0,0.0,Neutral
93,"Pfizer withdraws application for Covid vaccine in India 

Pfizer CovidVaccine 

",0.0,0.0,Neutral
94,Helpful video from Fay at  on her experience of having a CovidVaccine. ,0.0,0.0,Neutral
95,"The Navy might deploy Corpsmen to help dispense the vaccine at some point.. I love my wife, but my selfish ass is p… ",0.8,0.0,Neutral
96,"Austin CovidVaccine failure, tried all week (only two chances a week) and can't get vaccine due to web and progra… ",0.5583333333333333,-0.14722222222222223,Negative
97,"'Regulator Needs More Info': First to Apply for Emergency Use in India, Pfizer Withdraws its CovidVaccine Reques… ",0.41666666666666663,0.375,Positive
98,"Have my vaccine booked for next week 💉 maternity leave coming to an end 😭 Time to do my bit 💪🏥
nurse wardsister… ",0.0,0.0,Neutral
99,johnsonandjohnson CovidVaccine is expected to be approved by the FDA for emergency use by the end of next week. T… ,0.2,-0.05,Negative
100,". coming up:
-Black Americans falling behind receiving CovidVaccine 
-New police chief for Oakland
-Huma… ",0.5292929292929293,-0.14343434343434344,Negative
101,"India’s COVID positivity rate dips to 5.42 pc: Health ministry


COVID19 CovidVaccine… ",0.0,0.0,Neutral
102,"""I feel excited about getting vaccinated. Other people should also come forward &amp; get vaccinated so that the state… ",0.5625,0.125,Positive
103,We know no one will be safe until everyone is safe. CovidVaccine  ,0.5,0.5,Positive
104,India sent 56 lakh COVID-19 vaccine doses to foreign nations as gift; 100 lakh doses as commercial supplies: MEA… ,0.0625,-0.0625,Negative
105,Bring your Dad to work day ☺️🙌🏼🥰 So glad I got to administer his first dose of the Covid-19 vaccine ✅ CovidVaccine… ,0.6666666666666666,0.375,Positive
106,Rich countries won’t allow an Intelectual property waver for the CovidVaccine to be produced in poor countries. Th… ,0.675,-0.012500000000000011,Negative
107,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
108,"Sero survey: A fifth of Indians infected, a third in urban slums



COVID19 CovidVaccine… ",0.0,0.0,Neutral
109,Of course they can! You know why??? B/c I GUARANTEE you that the CovidVaccine is being used to control fertility &amp;… ,0.0,0.0,Neutral
110,"If you’re thinking of taking the COVID vaccine, BE WARNED... it has extraordinary effects:

You could end up with E… ",1.0,0.3333333333333333,Positive
111,Is Pfizer Safe? Pulling out from India under emergency use raises big question on its credibility and effectivenes… ,0.3,0.25,Positive
112,"As SuVitas continues to offer uninterrupted rehab care in our infection-free recovery spaces, our Hyderabad team re… ",0.0,0.0,Neutral
113,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
114,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
115,"BREAKING AtmanirbharBharat 

Pfizer -vaccine leader on confronting new coronavirus variants, has decided to with… ",0.45454545454545453,0.13636363636363635,Positive
116,sharing vacccine  via  fridaymorning FridayThoughts fridayfun FridayFunDay… ,0.0,0.0,Neutral
117,"Wickert presses making rubber stoppers for vaccine vials



Covid covidvaccine rubber… ",0.0,0.0,Neutral
118,"Florida man steals car laden with $10,000 in COVID vaccine -- keys were left in the ignition: report  
CovidVaccine",0.0,0.0,Neutral
119,First morning after the second dose of vaccine and just a little pain in arm. Took vaccine at Al Ittihad Center in… ,0.2333333333333333,-0.009375000000000001,Negative
120,tbh just sitting here thinking about how  is failing us so hard right now it’s embarrassing. MA is ran… ,0.5386904761904762,-0.0029761904761904934,Negative
121, Modi India donated Covidvaccine to Barbados and miamottley has thank India and return we are getting antiindiapropoganda,0.0,0.0,Neutral
122,"Reuters: Panama seeks 3 million doses of Russia's CovidVaccine vaccine - letter 

",0.0,0.0,Neutral
123,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
124,  Haha. We have an anti-vaxxer in the house. An amateur specialist relying on made up bullshit w… ,0.275,-0.024999999999999994,Negative
125,Grateful to  and  Hospital that I received my first dose of Sinopharm CovidVaccine. Durin… ,0.3333333333333333,0.25,Positive
126,Neurological manifestations are sometimes the sole initial presenting complaint of covid. Covidvaccine is key. L… ,0.3625,-0.075,Negative
127,Very timely to understand vaccine hesitancy. CovidVaccine COVID19 Covid19UK ,0.3,0.2,Positive
128,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
129,"I think we're having a ""Clayton's"" CovidVaccine rollout in Australia.  You know, the rollout you have when you're… ",0.0,0.0,Neutral
130,"As of today, a total of 49,59,445 COVIDVaccine beneficiaries have been vaccinated. For update info, kindly refer t… ",0.825,0.3,Positive
131,"CovidVaccine Pfizer &amp; Moderna have supply, storage, safety issues &amp; JNJ “1” shot with NO PEER REVIEW should be tr… ",0.0,0.0,Neutral
132,Dr. Kathleen Brennan volunteered today at the Forum Los Angeles CovidVaccine administration site. A huge thanks to… ,0.55,0.30000000000000004,Positive
133,"BREAKING 

Pfizer has decided to withdraw its application for EUA (emergency use authorization) for its… ",0.0,0.0,Neutral
134,So thankful to receive my first Covid-19 vaccine 🧡 CovidVaccine,0.3333333333333333,0.25,Positive
135,"DRO of YSR District, Shri. A Malola got vaccinated today at RIMS. He also requested his colleagues and other frontl… ",0.375,-0.125,Negative
136,  We will start and end the panel with a talk about an equity framework for CovidVaccine. I… ,0.0,0.0,Neutral
137,"Interesting vaccine tracker:
 

Indonesia: 


CovidVaccine ",0.5,0.5,Positive
138,"Friday is my second favorite F word. Food is my first😘😘
CardiB Lamela CovidVaccine ",0.5,0.25,Positive
139,Johnson &amp; Johnson on Thursday (Feb. 4) officially asked the US Food and Drug Administration for an emergency-use au… ,0.0,0.0,Neutral
140," Mr. Martin, I watched this. What happened to “General Gus Perna: Me. Conversation's over. It's pret… ",0.5,0.05000000000000002,Positive
141,The US-based pharma giant was the first drugmaker to apply for emergency use authorisation of its COVID-19 vaccine… ,0.6666666666666666,0.125,Positive
142,"Pfizer Withdraws Application For Covid Vaccine In India CovidVaccine Pfizer India 
",0.0,0.0,Neutral
143,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
144,All your up to date COVIDvaccine updates inside! staysafe ,0.0,0.0,Neutral
145,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
146,"The question is, in the face of such incompetence, how hasn’t Dido Harding resigned? r4today KentVariant… ",0.5,0.0,Neutral
147,"It's Time to Save on Medicines💊
Save upto 90% on your medical bill ! Shop Now!

CovidVaccine ValentinesDay… ",0.0,0.0,Neutral
148,"[News Alert] Pfizer withdraws application for emergency use of its CovidVaccine in India, reports Reuters. ",0.0,0.0,Neutral
149,Hey DoctersThatDo - check out today’s updates to the CovidVaccine guidelines - ,0.0,0.0,Neutral
150,   Easy. Countries where CovidVaccine is made are hoarding it for themselves… ,0.8333333333333334,0.43333333333333335,Positive
151,Covid-19 protect products door to door service.CovidVaccine Masks ,0.0,0.0,Neutral
152,Pfizer withdraws application for Emergency Use Authorisation of Covidvaccine in India ,0.0,0.0,Neutral
153,VRS Technologies offer LED Wall Rental Services in Dubai for All kinds of Events. Our LED Walls are customization t… ,0.0,0.0,Neutral
154, Mr President how about we put a vaccinator on each and United States mail truck and have them vaccinate each… ,0.0,0.0,Neutral
155,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
156,Government targets to initially immunise at least 60 percent of the population to achieve “population immunity”.… ,0.2,-0.15,Negative
157,"Five states are now in the ""10% club"" meaning at least 1 in 10 residents have now received the first vaccine dose
A… ",0.3666666666666667,-0.024999999999999994,Negative
158,"India's vaccine productivity will serve needs of all: PM to S Africa President

 … ",0.0,0.0,Neutral
159,Pharma major  on Friday said it has decided to withdraw its application for Emergency Use Authorisation (EUA… ,0.5,0.0625,Positive
160,Check her Bio  follow her... stop listening to Media endless COVID19 Doom Gloom like we are all g… ,0.44166666666666665,-0.12916666666666665,Negative
161,Nailed it. TheThreeCaballeros COVIDVaccine DisneyHumor ✨ ,0.0,0.0,Neutral
162,"I am EXTREMELY DISAPPOINTED to see _DPH and  FAIL so badly at this AGAIN.

May run out of vaccines,… ",0.5722222222222221,-0.6499999999999999,Negative
163,"When I tell my patients I haven’t been vaccinated yet, they are shocked. Absolutely shocked. 

vaccinationfail… ",0.8,-0.7,Negative
164,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
165,"Good news for temporary visa holders in Australia📢

  COVID19Aus CovidVaccine… ",0.6000000000000001,0.7,Positive
166,Read today the second vaccine shot is giving ppl major symptoms of covid!! CovidVaccine deadly,0.3,-0.03411458333333334,Negative
167,Coronavirus LIVE Updates TODAY: Pfizer Vaccine Withdraws Application for Emergency Use Authorisation. Global tally… ,0.25,0.06818181818181818,Positive
168,"If the masks were sold and KEMSA looted, what do you think will happen when the 4 million CovidVaccine doses arrive in Kenya?",0.0,0.0,Neutral
169,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
170,    Why not as standard throughout all hospitals give all inpatients the… ,0.0,0.0,Neutral
171," I know many teachers in Brazos and Grimes Counties, and all across Texas, who would love the opportunity… ",0.55,0.5,Positive
172,"This 👇   

ONPoli CDNpoli CovidVaccine COVID19Ontario ",0.0,0.0,Neutral
173,"Infected..oops 😛Injected with the first dose of Chinese vaccine 💉 1 of howmanyth, I wonder 💭 🤔🤔funfact Memes CovidVaccine pun",0.16666666666666666,0.125,Positive
174,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
175,Took my covid 19 vaccine today. The vaccine is safe and effective. Take your shot when it is due. Fight against Cor… ,0.5583333333333333,0.325,Positive
176,"I am so thankful that my Mom was able to get her first dose of CovidVaccine.

Now, I am surprised, but so grateful… ",0.6194444444444445,0.2833333333333333,Positive
177,Got the first shot of Corona Vaccine today.  IndiaFightsCOVID19 CovidVaccine ,0.3333333333333333,0.25,Positive
178,So blessed to get my CovidVaccine yesterday  Abt 200+ happy people there. I feel better after the shot than… ,0.75,0.65,Positive
179,"🙏🙌🎉

Yes, I did wear lashes and eye makeup witb 3 masks for my CovidVaccine appointment. I'm not basic, lol, and… ",0.4125,0.4,Positive
180,Wait til  caves on this. Give prisoners the CovidVaccine instead of seniors and then release them? Jo… ,0.0,0.0,Neutral
181,Teachers should be the next Tier if we want our children back in school. They are the foundation of the future. We… ,0.041666666666666664,0.0,Neutral
182,"Rubbishing allegations concerning the coronavirus vaccines, the Centre has said there is no evidence to suggest any… ",0.0,0.0,Neutral
183,"I am fully vaccinated for Covid, won't you join me? 
As a Nurse I have seen the damage Covid brings. I work the fro… ",0.0,0.0,Neutral
184,"

For everyone who seems to think there’s a conspiracy about the vaccines every single day..… ",0.21428571428571427,-0.07142857142857142,Negative
185,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
186,"The CoWIN Mobile App is currently meant for CoWIN Facility level users (Vaccinators, Supervisors, and Surveyors).… ",0.4,0.0,Neutral
187,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
188,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
189,Feb 26th is the soonest the FDA advisory panel could convene for johnsonandjohnson Vaccine? No sense of urgency… ,0.0,0.0,Neutral
190,"My parents, in their 80’s...retired doctor and nurse have been GIVING CovidVaccine for weeks. 

They finally got T… ",1.0,0.0,Neutral
191,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
192,"Vaccine 2 update: 12 hours later, mild ache in left side of neck. No headache. Still mild tingling and muscles jump… ",0.25,0.16666666666666666,Positive
193,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
194,"Additional chief secretary health Pradipta Kumar Mohapatra vaccinated for Covid19

CovidVaccine ",0.0,0.0,Neutral
195,Pandemic has brought infodemic too. Visit the right source to get right information  MaskUpMN… ,0.5357142857142857,0.2857142857142857,Positive
196,"Kerala with total 950811 cases  reaches 2nd position as per Data  from Ministry of Health and welfare, Govt Of Indi… ",0.375,0.0,Neutral
197,  The CovidVaccine is demonstrating safety every day with all the people getting vaccinate… ,0.0,0.0,Neutral
198,"If someone dies of a pre-existing condition we'll call it covid death
If someone dies from having the vaccine we sh… ",0.0,0.0,Neutral
199,"Has the US government ever lied to its citizens about what was being injected into them? Yes or no?
They called it… ",0.0,0.0,Neutral
200, I’m two weeks post second shot of the  vaccine. And it’s fabulous! CovidVaccine ,0.5,0.25,Positive
201,Already got dose 1 of Moderna. Will definitely get dose 2. CovidVaccine ,0.5,0.0,Neutral
202, Already got dose 1 of Moderna. Will definitely get dose 2. CovidVaccine,0.5,0.0,Neutral
203,"In the alleged CovidVaccine death of a conservancy worker from Thoothukudi at Aruppukottai, Madurai bench of… ",0.1,-0.1,Negative
204,LOOK: Palace Spokesman Harry Roque presented the following priority population groups for vaccination as adopted b… ,0.1,0.0,Neutral
205,"Second covid shot today. Been having “hot flashes”, chills, headache. I called in for tomorrow, today. Ugh. I know… ",0.42500000000000004,0.125,Positive
206,"Follow Us for More Update.
 |  Instagram 
Mumbai html website… ",0.5,0.5,Positive
207,Looking forward to the day when I wake up to his headline here at home. COVID19 CovidVaccine StopTheSpread ,0.0,0.0,Neutral
208,My 89 yr old father still hasn’t been able to get the first dose of the CovidVaccine 😢,0.38611111111111107,0.2833333333333333,Positive
209,Did you know that researchers and scientists have developed a plant based vaccine for COVID-19 in Quebec? At my nex… ,0.3,0.1,Positive
210,"2 new variants:  Ohio and California and according to this article, the more variants, the less chances the vaccine… ",0.34040404040404043,0.15656565656565657,Positive
211,"
Are you above 65?
Are you waiting for your turn to get the COVID vaccine?
Your wait is over… ",0.1,0.0,Neutral
212," How shameless are you. 
Who is  ? PM of Barbados? Or is our country policy/foreign affairs so fra… ",0.0,0.0,Neutral
213,"India is emerging out of the COVID19 crisis as a true Vishwaguru!
CovidVaccine ",0.65,0.4375,Positive
214,Morning. No side effects whatsoever from yesterday's CovidVaccine .  Leg sore but no sign of infection. All good. So grateful for ourNHS .,0.6000000000000001,0.7,Positive
215,"Johnson &amp; Johnson CovidVaccine:
100% effective at preventing COVID19 serious enough to require hospitalization, r… ",0.6555555555555556,0.08888888888888889,Positive
216,"We're making progress with our COVID19 vaccine distribution efforts. 773,346 Washingtonians received the… ",0.0,0.0,Neutral
217,"I'd sure like to know why none of these 'health officials', or any journalist or elected leaders, will even address… ",0.8888888888888888,0.5,Positive
218,India to supply 1.1 billion doses of Covid-19 vaccines to UNICEF  via  healthnews CovidVaccine,0.0,0.0,Neutral
219,  Rinse &amp; Repeat. COVIDー19 🦠💉CovidVaccine covidvariants 🦠,0.0,0.0,Neutral
220,India sent 56 L COVID19 vaccines to foreign nations as gift;100 L doses as commercial supplies: MEA… ,0.0625,-0.0625,Negative
221,"Our next event ""Researchers at Forefront of Fight Against COVID-19"" is on March 18 from 6 to 8 pm EST. COVID19… ",0.0,0.0,Neutral
222,So I got my CovidVaccine today! Pfizer is great but the only side effect is being too damn proud of scienceeeeeee… ,0.9166666666666666,0.5333333333333333,Positive
223,Heads Up Regarding the Moderna CovidVaccine! BigPharma    … ,0.0,0.0,Neutral
224," I agree with what you said “delay should not be used to stretch vaccine.” Also, if the manufacturer’… ",0.0,0.0,Neutral
225, and the  aren’t fighting for Iowa.  Iowa makes up .95% of the U.S. population but is only gettin… ,1.0,0.0,Neutral
226," doesn't care that she is likely sentencing teachers, staff, janitors, principals, students, and the fa… ",1.0,0.0,Neutral
227,Excellent CovidVaccine resource from  and her crackerjack team! Awesome work ! 🦠🩹💻 ,1.0,1.0,Positive
228,"COVID19Vaccination drive is underway for healthcare workers and frontline COVID19 warriors.
In the next phase,… ",0.0,0.0,Neutral
229,"""It's like a war between a population of viruses and a population of people. At some point, we have a standoff"" 

-… ",0.0,0.0,Neutral
230,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
231,_RShatsky Seriously???????? CovidVaccine vaccinated ,0.6666666666666666,-0.3333333333333333,Negative
232,"Phase 1 of the CovidVaccine is to administer it to frontline healthcare workers and the highest risk adults, but i… ",0.0,0.0,Neutral
233,"EU Blue Card salary minimum increases

To More:- 

Job  Jobs  imiggrateinpoland… ",0.3,0.25,Positive
234,Establishment MSM &amp; Auspol-itics is getting worse each day with its FakeControversy &amp; FakeNews. It has ALWAYS… ,0.6,-0.4,Negative
235,"My Sister: 
Vegas senior traveling to Laughlin to get vaccine due to lack of appointments   ",0.375,-0.125,Negative
236,"COVID19 
JohnsonandJohnson has developed Single Shot CovidVaccine 
",0.2571428571428571,0.01428571428571429,Positive
